37386,15,Stavropolsky Pivovarenny Zavod (Ставропольский Пивоваренный Завод),stavropolsky-pivovarenny-zavod-stavropolskij-pivovarennyj-zavod,/w/stavropolsky-pivovarenny-zavod-stavropolskij-pivovarennyj-zavod/37386,Stavropol,45.0441,41.9816
38368,179,AF Brew,af-brew,/AntiFactory,Saint Petersburg,59.9107,30.266
40424,10,Bierstube (Бирштубе),bierstube-birshtube,/w/bierstube-birshtube/40424,Санкт-Петербург,59.919,30.2846
41259,19,Rzhevpivo (Ржевпиво),rzhevpivo-rzhevpivo,/w/rzhevpivo-rzhevpivo/41259,Rzhev,56.2492,34.3456
41755,45,Bryanskpivo (Брянскпиво),bryanskpivo-bryanskpivo,/w/bryanskpivo-bryanskpivo/41755,Bryansk,53.2672,34.4119
41823,6,Beerger (Два Товарища),beerger-dva-tovarisha,/w/beerger-dva-tovarisha/41823,дер. Курилово,55.0903,37.0203
42009,44,Gambrinus (Гамбринус),gambrinus-gambrinus,/w/gambrinus-gambrinus/42009,Izhevsk,56.8831,53.2632
42549,9,Vyatskaya Promyshlennaya Kompania (Вятская Промышленная Компания),vyatskaya-promyshlennaya-kompania-vyatskaya-promyshlennaya-kompaniya,/w/vyatskaya-promyshlennaya-kompania-vyatskaya-promyshlennaya-kompaniya/42549,Kirov,58.627,49.6229
42694,30,Yablochny Spas (Яблочный Спас),yablochny-spas-yablochnyj-spas,/StAntonBrewery,Suvorov,54.1255,36.4856
43495,3,Zolotaya Vobla (Золотая Вобла),zolotaya-vobla-zolotaya-vobla,/w/zolotaya-vobla-zolotaya-vobla/43495,Moscow,55.7558,37.6173
44177,38,Tomskoe Pivo (Томское Пиво),tomskoe-pivo-tomskoe-pivo,/w/tomskoe-pivo-tomskoe-pivo/44177,Томск,56.4626,84.9402
44341,2,Temple Bar,temple-bar,/w/temple-bar/44341,Москва,55.7558,37.6173
44688,0,Brickstone Beer,brickstone-beer,/w/brickstone-beer/44688,Moscow,55.7558,37.6173
44803,18,Pivkombinat Balakovsky (Пивкомбинат Балаковский),pivkombinat-balakovsky-pivkombinat-balakovskij,/w/pivkombinat-balakovsky-pivkombinat-balakovskij/44803,Balakovo,51.9967,47.8134
44976,122,Stamm Brewing,stamm-brewing,/StammBeer,Красная Пахра,55.4314,37.2768
45905,13,VPZ Daryal (ВПЗ Дарьял),vpz-daryal-vpz-daryal,/w/vpz-daryal-vpz-daryal/45905,Vladikavkaz,43.0804,44.6829
46620,10,Фонтан / Кваспром,fontan-kvasprom,/w/fontan-kvasprom/46620,Orekhovo-Zuyevo,55.8034,38.9668
47735,51,Barnaulsky Pivovarenny Zavod (Барнаульский Пивоваренный Завод),barnaulsky-pivovarenny-zavod-barnaulskij-pivovarennyj-zavod,/w/barnaulsky-pivovarenny-zavod-barnaulskij-pivovarennyj-zavod/47735,Barnaul,53.3193,83.6183
48141,4,Torro Grill,torro-grill,/w/torro-grill/48141,,0.0,0.0
49404,25,Brauerei Ponarth (Пивоварня Понарт),brauerei-ponarth-pivovarnya-ponart,/w/brauerei-ponarth-pivovarnya-ponart/49404,Kaliningrad,54.6818,20.4868
49414,15,Surok (Сурок),surok-surok,/w/surok-surok/49414,Moscow,55.8667,37.4455
51452,146,LaBEERint Brewery,labeerint-brewery,/LaBEERintBrewery,Obninsk,55.117,36.5971
51590,0,НАBEERЕЖНАЯ (NABEEREZHNAYA),nabeerezhnaya-nabeerezhnaya,/w/nabeerezhnaya-nabeerezhnaya/51590,Санкт-Петербург,59.9783,30.3147
52339,5,Martin Aqua (Мартин Аква),martin-aqua-martin-akva,/w/martin-aqua-martin-akva/52339,Belaya Glina,46.0812,40.8683
52662,3,Reduit (Редюит),reduit-redyuit,/w/reduit-redyuit/52662,Kaliningrad,54.7127,20.5371
53009,83,Velka Morava,velka-morava,/VelkaMorava,Moscow,55.8606,37.6543
53094,8,Hmel (Хмель),hmel-hmel,/w/hmel-hmel/53094,Kaliningrad,54.7197,20.5039
55456,15,Papasha Clauss (Папаша Клаусс),papasha-clauss-papasha-klauss,/w/papasha-clauss-papasha-klauss/55456,Санкт-Петербург,59.9818,30.2101
55892,24,Tagilskoe Pivo (Тагильское Пиво),tagilskoe-pivo-tagilskoe-pivo,/TagilskoePivo,Нижний Тагил,57.9407,59.9136
59072,42,Pivovarenny Zavod Lyskovsky (Пивоваренный Завод Лысковский),pivovarenny-zavod-lyskovsky-pivovarennyj-zavod-lyskovskij,/w/pivovarenny-zavod-lyskovsky-pivovarennyj-zavod-lyskovskij/59072,Lyskovo,56.0356,45.0563
59137,7,Pivnaya Kompaniya (Пивная Компания),pivnaya-kompaniya-pivnaya-kompaniya,/w/pivnaya-kompaniya-pivnaya-kompaniya/59137,Хабаровск,48.4095,135.105
59498,11,Vikbeer (Викбир),vikbeer-vikbir,/w/vikbeer-vikbir/59498,Artëm,43.3756,132.168
59518,19,Hagen,hagen,/w/hagen/59518,Смоленск,54.7678,32.0145
60539,33,Biberbrau,biberbrau,/Biberbrau,Moscow,55.7558,37.6173
60711,16,Suzdal Brewery (Суздальская Пивоварня),suzdal-brewery-suzdalskaya-pivovarnya,/w/suzdal-brewery-suzdalskaya-pivovarnya/60711,Чириково,56.2579,40.6209
61432,22,BeerZelis,beerzelis,/w/beerzelis/61432,Kaliningrad,54.6834,20.5277
61582,38,Krop-Pivo (Кроп-Пиво),kroppivo-kroppivo,/w/krop-pivo-krop-pivo/61582,Kropotkin,45.4325,40.5854
63282,0,Bogerhof (Богерхоф),bogerhof-bogerhof,/w/bogerhof-d-d-3-4-d-dun-n-d-3-4-n/63282,г. Анапа,44.876,37.3303
64002,11,Osha (Оша),osha-osha,/w/osha/64002,Омск,55.0194,73.4359
64622,77,New Riga's Brewery,new-rigas-brewery,/w/new-riga-s-brewery/64622,Лешково,56.2021,38.0663
64853,60,Lakinsky Pivzavod (Лакинский Пивзавод),lakinsky-pivzavod-lakinskij-pivzavod,/w/lakinsky-pivzavod/64853,Lakinsk,56.0191,39.968
65343,28,ТПМЗ МёдВедь (ООО Фарт),tpmz-myodved-ooo-fart,/w/tpmz-myodved-ooo-fart/65343,Saint Petersburg,59.9116,30.2808
66008,83,Deka (Дека),deka-deka,/Deka_,Veliky Novgorod,58.5468,31.2352
67259,17,Tolstiy Fraer (Толстый Фраер),tolstiy-fraer-tolstyj-fraer,/w/tolstiy-fraer-tolstyj-fraer/67259,Saint Petersburg,59.9343,30.3351
69006,52,Пивоварня Кожевниково (Kozhevnikovo Brewery) ,pivovarnya-kozhevnikovo-kozhevnikovo-brewery,/KozhevnikovoBrewery,Kozhevnikovo,56.2618,83.9638
70026,37,ID Brewery,id-brewery,/w/id-brewery/70026,Moscow,55.7558,37.6173
70612,43,Bochkarevsky Pivovarenny Zavod (Бочкаревский Пивоваренный Завод),bochkarevsky-pivovarenny-zavod-bochkarevskij-pivovarennyj-zavod,/w/bochkarevsky-pivovarenny-zavod-bochkarevskij-pivovarennyj-zavod/70612,Bochkari,52.8807,85.7611
71454,14,Vaclav Zamok (Вацлав Замок),vaclav-zamok-vaclav-zamok,/w/vaclav-zamok-vaclav-zamok/71454,Saint Petersburg,59.9732,30.4172
72772,55,1516 Pub & Brewery,1516-pub-and-brewery,/Stan1516,Moscow,55.7364,37.6707
73316,20,Pivovarenny Dom Bavaria (Пивоваренный Дом Бавария),pivovarenny-dom-bavaria-pivovarennyj-dom-bavariya,/w/pivovarenny-dom-bavaria-pivovarennyj-dom-bavariya/73316,Vladikavkaz,43.0672,44.675
73322,4,Halvichny Zavod Nalchiksky (Халвичный Завод Нальчикский),halvichny-zavod-nalchiksky-halvichnyj-zavod-nalchikskij,/w/halvichny-zavod-nalchiksky-halvichnyj-zavod-nalchikskij/73322,Nal'chik,43.479,43.6186
73323,3,Grenkipub,grenkipub,/w/grenkipub/73323,,0.0,0.0
73467,12,Zhigulevskoe Pivo (Жигулевское Пиво),zhigulevskoe-pivo-zhigulevskoe-pivo,/w/zhigulevskoe-pivo-zhigulevskoe-pivo/73467,Samara,53.2013,50.099
73864,229,Bakunin Brewing Co.,bakunin-brewing-co,/BakuninBrewery,Saint Petersburg,59.9343,30.3351
73867,40,Пивоваръ,pivovar,/w/pivovar/73867,Volgograd,48.6862,44.4826
74423,7,Gloster,gloster,/w/gloster/74423,Москва,55.548,37.5501
75620,27,Визит,vizit,/Vizit,Kuznetsk,53.1283,46.5915
75763,97,Токсовская Сидрерия (On The Bones),toksovskaya-sidreriya-on-the-bones,/onthebones,Saint Petersburg,59.7507,30.3121
77459,4,Old George Brewery (Пивоварня Старый Георг),old-george-brewery-pivovarnya-staryj-georg,/w/old-george-brewery-pivovarnya-staryj-georg/77459,Yoshkar-Ola,56.6249,47.9419
77600,1,Karachaevsky Pivzavod (Карачаевский Пивзавод),karachaevsky-pivzavod-karachaevskij-pivzavod,/w/karachaevsky-pivzavod-karachaevskij-pivzavod/77600,г. Карачаевск,43.7739,41.9088
77893,13,Killfish Discount Bar,killfish-discount-bar,/w/killfish-discount-bar/77893,,0.0,0.0
78171,22,Любецъ,lyubec,/w/lyubec/78171,Kovrov,56.392,41.3169
78690,90,Heineken Brewery (Объединенные Пивоварни Хейнекен),heineken-brewery-obedinennye-pivovarni-hejneken,/w/heineken-brewery/78690,Saint Petersburg,59.8927,30.4912
78781,8,"Пивоварня ""Норд-Вест""",pivovarnya-nordvest,/w/pivovarnya-nord-vest/78781,Oryol,52.9272,36.0267
79437,2,Matsuri,matsuri,/w/matsuri/79437,,0.0,0.0
79953,18,Кольский пивоваренный завод,kolskij-pivovarennyj-zavod,/Kolskoe_Pivo,Кола,68.8821,33.0433
81505,11,ГриннBeer,grinnbeer,/w/grinnbeer/81505,Kursk,51.7616,36.1848
81516,14,Chester Pub,chester-pub,/w/chester-pub/81516,Oryol,52.9589,36.0652
81519,4,Blonder Beer,blonder-beer,/w/blonder-beer/81519,Орел,52.9668,36.0625
81520,3,Орловская Нива,orlovskaya-niva,/w/orlovskaya-niva/81520,Орел,52.9814,36.0585
81617,15,Пивоварня Stražek,pivovarnya-strazek,/w/pivovarnya-strazek/81617,Moscow,55.7074,37.6566
81688,3,Clever Irish Pub,clever-irish-pub,/w/clever-irish-pub/81688,Томск,56.4638,84.9518
81926,12,Майкопский Пивзавод Конкорд (Maykopsky Pivzavod Concorde),majkopskij-pivzavod-konkord-maykopsky-pivzavod-concorde,/w/maykopsky-pivzavod-concorde/81926,г. Майкоп,44.6289,40.1275
81941,8,Brewery 903 (Пивоварня 903),brewery-903-pivovarnya-903,/Brewery_903_Pskov,Pskov,57.8193,28.3126
81986,59,Craft Brew Riots,craft-brew-riots,/CraftBrewRiots,Saint Petersburg,59.9343,30.3351
82195,7,Pivnitsa (Пивница),pivnitsa-pivnica,/w/pivnitsa-pivnica/82195,Швариха,56.1553,43.4041
82343,182,Victory Art Brew,victory-art-brew,/VictoryArtBrew,Ivanteyevka,55.9601,37.9196
82867,17,Caspary Bräu,caspary-brau,/w/caspary-brau/82867,Obninsk,55.1108,36.6079
82871,13,"Grenader Brewery (ООО ""Малоярославецкая пивоваренная компания"")",grenader-brewery-ooo-maloyaroslaveckaya-pivovarennaya-kompaniya,/GrenaderBrewery,Maloyaroslavets,54.9983,36.4326
83130,33,Drakkar Brewery,drakkar-brewery,/DrakkarBrewery,Saint Petersburg,59.9343,30.3351
83471,0,Schwaben Keller,schwaben-keller,/SchwabenKeller,Санкт-Петербург,59.959,30.4086
83668,5,Nesselbeck (Нессельбек),nesselbeck-nesselbek,/w/nesselbeck-nesselbek/83668,Орловка,54.7934,20.5314
84328,93,Lovecraft Weird Brewery,lovecraft-weird-brewery,/Lovecraft,Krasnodar,45.0333,39.031
84572,10,Рузская Пивоваренная Компания,ruzskaya-pivovarennaya-kompaniya,/w/d-n-d-n-d-d-n-d-d-d-d-3-4-d-d-n-dud-1-2-d-1-2-d-n-d-d-3-4-d-1-4-d-d-d-1-2-d-n/84572,г. Руза,55.6956,36.2011
85059,3,Punch & Judy Pub,punch-and-judy-pub,/w/punch-judy-pub/85059,Москва,55.7558,37.6173
85706,20,Ермолаевъ,ermolaev,/Ermolaev_brewery,Tyumen,57.1798,65.4758
86111,6,Gradus Farengeita (Градус Фаренгейта),gradus-farengeita-gradus-farengejta,/w/gradus-farengeita-gradus-farengejta/86111,Санкт-Петербург,59.8643,30.3095
86143,15,Suzdal Meadery (Суздальский Медоваренный Завод),suzdal-meadery-suzdalskij-medovarennyj-zavod,/w/suzdal-meadery-suzdalskij-medovarennyj-zavod/86143,Suzdal,56.4434,40.4602
88050,26,Мастер-Продукт-Алтай (Master-Product-Altay),masterproduktaltaj-masterproductaltay,/w/masterproduktaltaj-masterproductaltay/88050,Barnaul,53.3812,83.7051
88366,1,ИП Дзампаева,ip-dzampaeva,/w/ip-dzampaeva/88366,Vladikavkaz,43.0252,44.666
88372,46,Abbatskoe (Аббатское),abbatskoe-abbatskoe,/w/abbatskoe-abbatskoe/88372,Тольятти,53.5086,49.4198
89791,3,Wiener Beer,wiener-beer,/w/wiener-beer/89791,Москва,55.645,37.6348
89993,51,Cosmic City,cosmic-city,/CosmicCityBrew,Korolyov,55.9317,37.8519
90543,6,Yakitoriya (Якитория),yakitoriya-yakitoriya,/w/yakitoriya/90543,,0.0,0.0
91140,23,Lipetskpivo (Липецкпиво),lipetskpivo-lipeckpivo,/w/lipetskpivo-lipeckpivo/91140,Lipetsk,52.6173,39.5323
91889,19,Lomonosovskaya Brewery (Ломоносовская Пивоварня),lomonosovskaya-brewery-lomonosovskaya-pivovarnya,/w/lomonosovskaya-brewery-lomonosovskaya-pivovarnya/91889,Санкт-Петербург,59.9174,29.7628
93437,12,Königbrau Brewery (Пивоварня Кёнигбрау),konigbrau-brewery-pivovarnya-kyonigbrau,/w/konigbrau-brewery-pivovarnya-kyonigbrau/93437,Kaliningrad,54.7104,20.4522
95242,514,Salden's Brewery,saldens-brewery,/Saldens,Tula,54.2048,37.6185
96477,17,Malvar,malvar,/w/malvar/96477,Подольск,55.4312,37.5458
97048,46,Пётр Петрович (Petr Petrovich),pyotr-petrovich-petr-petrovich,/PetrPetrovich,Tula,54.1837,37.592
97581,6,Ресторан Пивовар,restoran-pivovar,/w/restoran-pivovar/97581,Kaliningrad,54.7104,20.4522
97594,10,Priazovskaya Bavaria (Приазовская Бавария),priazovskaya-bavaria-priazovskaya-bavariya,/w/priazovskaya-bavaria-priazovskaya-bavariya/97594,Yeysk,46.7138,38.279
97981,33,BarrelBeer (ex. Dome Brewery),barrelbeer-ex-dome-brewery,/w/barrelbeer-ex-dome-brewery/97981,пос. им. Свердлова,59.798,30.636
98328,14,True Ale,true-ale,/w/true-ale/98328,дер. Желомеено,55.6792,35.6022
98547,4,Hercules (Геркулес),hercules-gerkules,/w/hercules/98547,Калинград,54.7208,20.4557
